externalId,name,supplierSku,brand,manufacturer,unit,priceMinor,currency,quantityOnHand,category,sourceUrl,sourceUpdatedAt
nordstom-001,Зубная паста Halazon Multiactive Med,,,One drop only,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-002,Visalys Core,,,Kettenbach,шт,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-003,Аксиат-спрей,,,Аксиат,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-004,Estelite Bulk Fill Flow шприц 3.0 г A2,,,Tokuyama Dental,шт,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-005,Восковые пластины LC Intertray,,,Interdent,уп,,,Зуботехнические материалы,https://nordstom.kz/,2026-07-17
nordstom-006,Ёршики для чистки межзубных промежутков S 5 мм,,,One drop only,уп,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-007,Ёршики для чистки межзубных промежутков M 6 мм,,,One drop only,уп,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-008,Visalys Temp,,,Kettenbach,шт,,,Временные материалы,https://nordstom.kz/,2026-07-17
nordstom-009,Estelite Color композитные краски шприц 0.9 г,,,Tokuyama Dental,шт,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-010,Набор Estelite Asteria kit 7 шприцев 4.0 г,,,Tokuyama Dental,набор,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-011,Policron-classic,,,Целит,шт,,,Полировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-012,Аэр Профи Комфорт,,,Омега Дент,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-013,Зубная паста Halazon Multiactive White,,,One drop only,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-014,Универсальная полировочная паста,,,Interdent,шт,,,Полировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-015,Interacryl Cast пластмасса,,,Interdent,уп,,,Зуботехнические материалы,https://nordstom.kz/,2026-07-17
nordstom-016,Чистея Плюс,,,Чистея,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-017,Зубная паста Halazon Multiactive Fresh,,,One drop only,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-018,Щётка-скребок для чистки языка,,,One drop only,шт,,,Гигиена и профилактика,https://nordstom.kz/,2026-07-17
nordstom-019,Набор Estelite Sigma Quick Promo 6 шприцев,,,Tokuyama Dental,набор,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-020,Септаксин КА антисептик для рук,,,Септаксин,шт,,,Кожные антисептики,https://nordstom.kz/,2026-07-17
nordstom-021,Panasil initial contact X-Light,,,Kettenbach,шт,,,Слепочные материалы,https://nordstom.kz/,2026-07-17
nordstom-022,ПРИЗМАФИЛ набор,,,СтомаДент,набор,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-023,Набор брекетов Damon Q2 ВЧ 5+5 с крючками,,,ORMCO,набор,,,Ортодонтия,https://nordstom.kz/,2026-07-17
nordstom-024,Futar,,,Kettenbach,шт,,,Слепочные материалы,https://nordstom.kz/,2026-07-17
nordstom-025,Сплав I-BOND NF кобальт-хромовый для металлокерамики,,,Interdent,уп,,,Зуботехнические материалы,https://nordstom.kz/,2026-07-17
nordstom-026,Estelite Sigma Quick универсальный светоотверждаемый композит,,,Tokuyama Dental,шт,,,Пломбировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-027,Лампа полимеризационная Woodpecker,,,Woodpecker,шт,,,Оборудование,https://nordstom.kz/,2026-07-17
nordstom-028,Диски шлифовальные для снятия излишков материала 2.731,,,Tor VM,уп,,,Полировочные материалы,https://nordstom.kz/,2026-07-17
nordstom-029,Нагрудники стоматологические КРИСТИДЕНТ Премиум Интенсив,,,КРИСТИДЕНТ,уп,,,Расходные материалы,https://nordstom.kz/,2026-07-17
nordstom-030,Набор брекетов Damon Q2 НЧ 5+5 стандарт,,,ORMCO,набор,,,Ортодонтия,https://nordstom.kz/,2026-07-17
nordstom-031,Гемостаб AlCl3,,,Омега Дент,шт,,,Гемостатики,https://nordstom.kz/,2026-07-17
nordstom-032,Стоматологическая установка Дарта 1600 2000,,,Coral,шт,,,Оборудование,https://nordstom.kz/,2026-07-17
nordstom-033,Рентген установка Planmeca ProMax 3D Classic,,,Planmeca,шт,,,Рентгеновское оборудование,https://nordstom.kz/,2026-07-17
nordstom-034,Panasil Putty,,,Kettenbach,шт,,,Слепочные материалы,https://nordstom.kz/,2026-07-17
nordstom-035,Набор брекетов Damon Clear2 ВЧ 5+5,,,ORMCO,набор,,,Ортодонтия,https://nordstom.kz/,2026-07-17
